Tasks,Method,Runs,Incumbents,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_Completed_Tasks,Mean_Response_Time,Mean_End_to_End_sec,Incumbent Rate
20,Greedy-Benefit,30,30,0.49466509458896696,0.06198460182512056,0.49466509458896696,13.666666666666666,41.911800609521194,0.001242363867155897,1.0
20,Greedy-Density-Operational,30,30,0.49286780792498575,0.05928307180385195,0.49286780792498575,13.966666666666667,39.00883040162452,0.0010890943992611331,1.0
20,HiGHS-600s,30,30,0.5658663321457461,0.06137612934641344,0.5658663321457461,14.4,39.46168442940502,4.275328645934254,1.0
30,Greedy-Benefit,30,30,0.364307519260055,0.05272331762918352,0.364307519260055,15.533333333333333,44.49660385409224,0.0019151847343891859,1.0
30,Greedy-Density-Operational,30,30,0.3740689970996554,0.05312763767896356,0.3740689970996554,16.3,41.33663024611554,0.001542124999104999,1.0
30,HiGHS-600s,30,30,0.4355658723834565,0.05062912065904958,0.4355658723834565,16.733333333333334,42.25142869428473,9.523993352866576,1.0
40,Greedy-Benefit,30,30,0.2981897739182175,0.042873062568137055,0.2981897739182175,16.833333333333332,45.98755843858011,0.001976359631225932,1.0
40,Greedy-Density-Operational,30,30,0.3052522474086198,0.04474299501074208,0.3052522474086198,17.966666666666665,42.784634858462255,0.002221179232583381,1.0
40,HiGHS-600s,30,30,0.3595035922499032,0.03709736698768541,0.3595035922499032,18.6,43.976121786566836,19.884432734600463,1.0
50,Greedy-Benefit,30,30,0.2517638487531163,0.03785211254108921,0.2517638487531163,17.766666666666666,47.21018074374886,0.0022836168000746207,1.0
50,Greedy-Density-Operational,30,30,0.260703928787738,0.03966475096614998,0.260703928787738,19.433333333333334,43.769298117497236,0.002065055568042832,1.0
50,HiGHS-600s,30,30,0.3048596486760937,0.03618554971238114,0.3048596486760937,20.066666666666666,45.403399004240306,37.37437266800116,1.0
60,Greedy-Benefit,30,30,0.21843367977536005,0.03307957559909315,0.21843367977536005,18.833333333333332,48.661142343283615,0.002845863866969012,1.0
60,Greedy-Density-Operational,30,30,0.22617119940618083,0.031238882284642635,0.22617119940618083,20.466666666666665,44.61887345401143,0.002557548566740782,1.0
60,HiGHS-600s,30,30,0.26935602157006966,0.02831646276273697,0.26935602157006966,20.933333333333334,46.403267996096574,82.452528641598,1.0
